appid,positive_ratings,negative_ratings,total_ratings,rating_percentage
10,113019,3536,116555,0.969662391145811
20,3697,677,4374,0.8452217649748514
30,2682,383,3065,0.8750407830342577
40,1161,301,1462,0.7941176470588235
50,10404,491,10895,0.9549334557136301
60,2317,598,2915,0.7948542024013722
70,52542,1865,54407,0.9657213226239271
80,12906,1388,14294,0.9028963201343221
130,7421,716,8137,0.9120068821432961
220,98588,2609,101197,0.9742186033182801
240,82558,3328,85886,0.9612509605756467
280,6226,2326,8552,0.7280168381665107
300,9761,1120,10881,0.8970682841650583
320,5827,710,6537,0.8913874866146551
340,6440,907,7347,0.8765482509867973
360,1859,641,2500,0.7436
380,14263,656,14919,0.9560292244788525
400,80314,1294,81608,0.984143711400843
420,20406,628,21034,0.9701435770657032
440,11837,979,12816,0.9236111111111112
500,29339,1251,30590,0.9591042824452436
550,395346,10429,405775,0.9742985644753867
570,12299,2094,14393,0.854512610296672
620,218189,2663,220852,0.9879421513049463
730,2823677,425587,3249264,0.869020492025271
1200,1032,177,1209,0.8535980148883374
1250,33758,1345,35103,0.9616841865367632
1510,1348,144,1492,0.903485254691689
1520,2156,349,2505,0.8606786427145708
1700,1142,164,1306,0.8744257274119449
1930,1555,507,2062,0.7541222114451989
2100,5278,513,5791,0.9114142635123468
2200,2200,103,2303,0.9552757273122015
2210,1497,227,1724,0.8683294663573086
2270,2231,135,2366,0.9429416737109044
2280,9282,355,9637,0.963162810003113
2300,4683,259,4942,0.9475920679886686
2310,7761,324,8085,0.9599257884972171
2320,2505,226,2731,0.9172464298791652
2400,2106,403,2509,0.8393782383419689
2500,864,203,1067,0.8097469540768509
2600,8805,495,9300,0.9467741935483871
2610,1045,109,1154,0.9055459272097054
2620,2990,173,3163,0.9453050901043313
2630,4459,365,4824,0.9243366500829188
2640,921,138,1059,0.8696883852691218
2820,1483,263,1746,0.8493699885452463
2870,2067,2970,5037,0.4103633114949375
2990,9526,426,9952,0.9571945337620579
3020,1284,269,1553,0.8267868641339343
3330,1732,107,1839,0.9418162044589451
3480,2762,85,2847,0.9701440112399017
3590,59718,1949,61667,0.9683947654337004
3620,991,48,1039,0.9538017324350336
3700,1624,459,2083,0.7796447431589054
3720,2623,143,2766,0.9483007953723789
3730,1676,246,1922,0.8720083246618107
3830,7621,278,7899,0.9648056716040005
3900,1712,132,1844,0.928416485900217
3910,3278,319,3597,0.9113149847094801
3920,3780,213,3993,0.946656649135988
4000,634587,21740,656327,0.9668762674703311
